id,Date,daynight,code,site,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0
1,2019-01-01,Home,RI1,Richmond Upon Thames - Castelnau,17.65241077967591,14.800632233833795,13.364122373852377,10.632489726179642,24.663860481519723,31.491226145492934,36.43497710687001,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,37.12266884281397,29.14740742358682,24.42886985694168,20.769885957238262,22.15048062526572,25.710205460712935,12.919366618322575
2,2019-01-01,Work,RI1,Richmond Upon Thames - Castelnau,-999,-999,-999,-999,-999,-999,-999,50.19565693906464,41.03749222544322,23.601593993414244,16.157348419483466,17.695838195357275,16.71036419360903,17.421330081187705,23.389561045666685,30.55137416506843,32.911687779923206,-999,-999,-999,-999,-999,-999,-999
3,2019-01-02,Home,RI1,Richmond Upon Thames - Castelnau,23.80501751746455,23.426690363972355,19.57893900708045,26.81084324311413,30.38493228882068,37.09335502763231,58.39380398903719,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54.63293907545124,50.06993721695533,49.57393691107394,46.56580952916443,40.36687543779744,38.355435540269085,25.647172646803373
4,2019-01-02,Work,RI1,Richmond Upon Thames - Castelnau,-999,-999,-999,-999,-999,-999,-999,52.55657703100152,46.118452844964224,47.356999130462015,38.95320440411476,40.03545027476516,38.61517090181368,37.17650238863725,40.41665825018161,48.230161985973744,55.412141569191824,-999,-999,-999,-999,-999,-999,-999
5,2019-01-03,Home,RI1,Richmond Upon Thames - Castelnau,35.498845237776834,39.61619441688597,23.116574266544955,24.430406153848782,39.81099599077715,51.92021211657378,57.172068998944226,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,60.598341393392936,61.98600939970487,59.9537319944932,62.184966985721495,65.49524775268867,47.582160870509654,37.907914851579974
6,2019-01-03,Work,RI1,Richmond Upon Thames - Castelnau,-999,-999,-999,-999,-999,-999,-999,50.82508804499436,47.98564735013441,43.18133100372474,44.348364129766985,41.86805037491735,37.48271783706617,45.1672321149842,48.20260204657223,47.03994751180168,54.46273450662421,-999,-999,-999,-999,-999,-999,-999
7,2019-01-04,Home,RI1,Richmond Upon Thames - Castelnau,47.31244749481684,30.995784192382455,26.655000458502037,40.60165126882774,34.91425775437526,39.69614189675854,50.98722622930748,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68.60352112452145,65.26035348056959,66.48567429539183,61.474774775085606,59.74918406784376,57.19032995706081,50.63157372401957
8,2019-01-04,Work,RI1,Richmond Upon Thames - Castelnau,-999,-999,-999,-999,-999,-999,-999,59.970545838572086,57.12509146532622,57.562493747493505,49.275423102608144,38.789088055049056,30.35482610430383,34.89466913079553,55.55812655322461,51.87814286278231,69.22808436916968,-999,-999,-999,-999,-999,-999,-999
9,2019-01-05,Home,RI1,Richmond Upon Thames - Castelnau,40.7267197659272,40.22166725231101,35.67887997918166,33.37453192085066,36.270279265784254,43.10431372655997,34.15707756502639,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,63.40966064896507,62.32683338251732,54.35442877556426,49.20026580416134,55.55206354996257,61.10187463038114,53.897805752266216
10,2019-01-05,Work,RI1,Richmond Upon Thames - Castelnau,-999,-999,-999,-999,-999,-999,-999,27.271423981865546,30.17671222012387,22.792118728378405,24.446248943368243,26.46758603606787,31.098116318807374,33.16404963915757,33.39530892879456,42.78962852497292,47.45764244585934,-999,-999,-999,-999,-999,-999,-999
